656	116.50
657	117.20
658	117.89
659	118.58
660	119.27
661	119.96
662	120.66
663	121.35
664	122.04
665	122.73
666	123.42
667	124.12
668	124.81
669	125.50
670	126.19
671	126.88
672	127.57
673	128.27
674	128.96
675	129.65
676	130.34
677	131.03
678	131.72
679	132.41
680	133.11
681	133.80
682	134.49
683	135.18
684	135.87
685	136.57
686	137.26
687	137.95
688	138.64
689	139.34
690	140.03
691	140.72
692	141.41
693	142.11
694	142.80
695	143.50
696	144.19
697	144.88
698	145.58
699	146.27
700	146.97
701	147.67
702	148.36
703	149.06
704	149.76
705	150.45
706	151.15
707	151.85
708	152.55
709	153.25
710	153.95
711	154.65
712	155.35
713	156.05
714	156.75
715	157.45
716	158.15
717	158.86
718	159.56
719	160.26
720	160.97
721	161.68
722	162.38
723	163.09
724	163.79
725	164.50
726	165.21
727	165.92
728	166.63
729	167.34
730	168.05
731	168.76
732	169.47
733	170.19
734	170.90
735	171.61
736	172.33
737	173.04
738	173.76
739	174.48
740	175.19
741	175.91
742	176.63
743	177.35
744	178.07
745	178.79
746	179.51
747	180.23
748	180.95
749	181.67
750	182.40
751	183.12
752	183.84
753	184.57
754	185.29
755	186.02
756	186.74
757	187.47
758	188.19
759	188.92
760	189.65
761	190.37
762	191.10
763	191.83
764	192.56
765	193.29
766	194.01
767	194.74
768	195.47
769	196.20
770	196.93
771	197.66
772	198.39
773	199.11
774	199.84
775	200.57
776	201.30
777	202.03
778	202.76
779	203.48
780	204.21
781	204.94
782	205.66
783	206.39
784	207.12
785	207.84
786	208.57
787	209.29
788	210.01
789	210.74
790	211.46
791	212.18
792	212.90
793	213.62
794	214.34
795	215.06
796	215.78
797	216.50
798	217.21
799	217.93
800	218.64
801	219.35
802	220.06
803	220.77
804	221.48
805	222.19
806	222.89
807	223.60
808	224.30
809	225.00
810	225.70
811	226.40
812	227.10
813	227.79
814	228.49
815	229.18
816	229.87
817	230.56
818	231.25
819	231.93
820	232.61
821	233.29
822	233.97
823	234.65
824	235.32
825	236.00
826	236.67
827	237.34
828	238.00
829	238.67
830	239.33
831	239.99
832	240.64
833	241.30
834	241.95
835	242.60
836	243.25
837	243.89
838	244.53
839	245.17
840	245.81
841	246.45
842	247.08
843	247.71
844	248.34
845	248.96
846	249.58
847	250.20
848	250.82
849	251.43
850	252.04
851	252.65
852	253.26
853	253.86
854	254.46
855	255.06
856	255.65
857	256.25
858	256.84
859	257.42
860	258.01
861	258.59
