190	312.28
191	312.12
192	311.93
193	311.73
194	311.52
195	311.29
196	311.04
197	310.78
198	310.50
199	310.20
200	309.89
201	309.57
202	309.23
203	308.87
204	308.50
205	308.11
206	307.70
207	307.28
208	306.85
209	306.40
210	305.93
211	305.45
212	304.95
213	304.44
214	303.91
215	303.36
216	302.80
217	302.23
218	301.64
219	301.03
220	300.41
221	299.78
222	299.13
223	298.46
224	297.78
225	297.09
226	296.38
227	295.65
228	294.91
229	294.16
230	293.39
231	292.61
232	291.81
233	291.00
234	290.17
235	289.33
236	288.47
237	287.61
238	286.72
239	285.82
240	284.91
241	283.99
242	283.05
243	282.10
244	281.13
245	280.15
246	279.16
247	278.16
248	277.14
249	276.11
250	275.06
251	274.00
252	272.94
253	271.85
254	270.76
255	269.65
256	268.53
257	267.40
258	266.26
259	265.10
260	263.93
261	262.75
262	261.56
263	260.36
264	259.15
265	257.93
266	256.69
267	255.45
268	254.19
269	252.92
270	251.65
271	250.36
272	249.06
273	247.76
274	246.44
275	245.11
276	243.78
277	242.44
278	241.08
279	239.72
280	238.35
281	236.97
282	235.58
283	234.19
284	232.78
285	231.37
286	229.95
287	228.53
288	227.09
289	225.65
290	224.20
291	222.75
292	221.29
293	219.82
294	218.35
295	216.87
296	215.38
297	213.89
298	212.40
299	210.90
300	209.39
301	207.88
302	206.37
303	204.85
304	203.33
305	201.80
306	200.27
307	198.74
308	197.20
309	195.66
310	194.12
311	192.58
312	191.03
313	189.48
314	187.93
315	186.37
316	184.82
317	183.26
318	181.71
319	180.15
320	178.59
321	177.03
322	175.47
323	173.91
324	172.35
325	170.79
326	169.24
327	167.68
328	166.12
329	164.57
330	163.01
331	161.46
332	159.91
333	158.36
334	156.81
335	155.27
336	153.73
337	152.19
338	150.65
339	149.11
340	147.58
341	146.05
342	144.53
343	143.00
344	141.48
345	139.96
346	138.45
347	136.94
348	135.42
349	133.91
350	132.40
351	130.89
352	129.37
353	127.86
354	126.33
355	124.80
356	123.25
357	121.69
358	120.10
359	118.49
360	116.83
361	115.14
362	113.38
363	111.55
364	109.63
365	107.59
366	105.43
367	103.10
368	100.58
369	97.83
370	94.81
371	91.50
372	87.84
373	83.81
374	79.39
375	74.57
376	69.36
377	63.81
378	58.00
379	52.04
380	46.07
381	40.22
382	34.65
383	29.46
384	24.75
385	20.56
386	16.91
387	13.80
388	11.17
389	8.99
390	7.20
391	5.74
392	4.56
393	3.61
394	2.85
395	2.25
396	1.77
397	1.39
398	1.09
399	0.86
400	0.67
401	0.53
402	0.41
403	0.32
404	0.25
405	0.20
406	0.15
407	0.12
408	0.09
409	0.07
410	0.06
411	0.05
412	0.04
413	0.03
414	0.02
415	0.02
416	0.01
417	0.01
418	0.01
419	0.01
420	0.00
421	0.00
422	0.00
423	0.00
424	0.00
425	0.00
426	0.00
427	0.00
428	0.00
429	0.00
430	0.00
431	0.00
432	0.00
433	0.00
434	0.00
435	0.00
436	0.00
437	0.00
438	0.00
439	0.00
440	0.00
441	0.00
442	0.00
443	0.00
444	0.00
445	0.00
446	0.00
447	0.00
448	0.00
449	0.00
450	0.00
451	0.00
452	0.00
453	0.00
454	0.00
455	0.00
456	0.00
457	0.00
